Date,Action,Ticker,Shares,Price,Value,Slippage,Trigger,Module,Regime,PDS_Status,Beta
2024-02-01,BUY,BTC,213.468405,43075.77,9195316.63,4597.66,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-02-02,BUY,TSLA,50305.659,187.91,9452936.56,4726.47,Regime→WATCH,ARES,WATCH,NORMAL,
2024-02-02,SELL,NVDA,182016.6282,66.12,12034864.97,6017.43,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-02-02,SELL,AMD,28737.6352,177.66,5105528.38,2552.76,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-02-02,SELL,VRT,79664.8634,61.29,4883017.84,2441.51,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-02-14,SELL_CALL,NVDA,,,80467.31,,Gain=53%,PERM,WATCH,NORMAL,
2024-02-14,SELL_CALL,PLTR,,,55025.41,,Gain=52%,PERM,WATCH,NORMAL,
2024-02-14,SELL_CALL,ARM,,,56217.67,,Gain=83%,PERM,WATCH,NORMAL,
2024-02-14,SELL_CALL,VRT,,,27688.16,,Gain=42%,PERM,WATCH,NORMAL,
2024-02-15,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-02-20,BUY,AMD,22449.569,165.69,3719669.14,1859.83,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-02-20,SELL,PLTR,263578.2961,23.4,6167732.03,3083.87,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-02-20,BUY,MU,50919.2116,80.07,4077128.06,2038.56,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-02-20,SELL,ARM,88179.7352,121.77,10737646.06,5368.82,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-02-20,SELL,BTC,234.871015,52284.88,12280201.64,6140.1,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-02-27,CDF_RESET,TSLA,,,0.0,,Outperformed QQQ by ≥5pp over 15d (THB §7.1),CDF,WATCH,NORMAL,
2024-02-27,BUY,ALAB,62194.1519,62.03,3857903.17,1928.95,Regime→WATCH,ARES,WATCH,NORMAL,
2024-02-27,SELL,BTC,64.031314,57085.37,3655251.33,1827.63,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-03-05,BUY,TSLA,44036.0994,180.74,7959084.86,3979.54,Regime→RISK_ON,ARES,RISK_ON,NORMAL,
2024-03-05,SELL,NVDA,50154.1094,85.92,4309016.76,2154.51,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-03-05,SELL,AMD,17260.0453,205.13,3540553.19,1770.28,Regime→RISK_ON,MASTER_ENGINE,RISK_ON,NORMAL,
2024-03-05,SELL,BTC,137.41585,63801.2,8767296.01,4383.65,Monthly rebal crypto=20.0%,MASTER_ENGINE,RISK_ON,NORMAL,
2024-03-28,BUY,AMD,27018.0814,180.49,4876493.66,2438.25,Regime→WATCH,ARES,WATCH,NORMAL,
2024-03-28,BUY,PLTR,202611.8764,23.01,4662099.32,2331.05,Regime→WATCH,ARES,WATCH,NORMAL,
2024-03-28,SELL,MU,72099.5732,117.07,8440612.85,4220.31,Regime→WATCH,MASTER_ENGINE,WATCH,NORMAL,
2024-03-28,SELL,BTC,123.180323,70744.95,8714386.16,4357.19,Monthly rebal crypto=20.0%,MASTER_ENGINE,WATCH,NORMAL,
2024-03-28,SELL_CALL,NVDA,,,112381.34,,Gain=88%,PERM,WATCH,NORMAL,
2024-03-28,SELL_CALL,PLTR,,,23104.83,,Gain=31%,PERM,WATCH,NORMAL,
2024-03-28,SELL_CALL,MU,,,52274.35,,Gain=44%,PERM,WATCH,NORMAL,
